,Unnamed: 0,n1,n2,T1,P1,T2,P2,T3,P3,T34,P34,T4,P4,gc1,Qmfs,type
307,307,8719.428571,5141.428571,288,94400,661.7376474,1208226.662,1286.044684,1147815.329,975.9863559,309477.1722,776.9565319,99600,46.73708454,0.945262299,2
985,985,9294.571429,5716.571429,288,94400,723.1725628,1727506.434,1456.703667,1641131.112,1097.899124,410160.0942,814.9086924,99600,62.31355878,1.539852788,2
655,655,9007,5429,288,94400,695.8327027,1471111.765,1385.477205,1397556.177,1045.18347,356961.9703,800.2451951,99600,54.5256729,1.246154151,2
868,868,9190,5612,288,94400,711.3430564,1614707.76,1409.535801,1533972.372,1068.282623,399504.2589,796.2756337,99600,59.54724913,1.386484621,5
1407,1407,9660.571429,6082.571429,288,94400,753.4639609,2068325.705,1561.710511,1964909.42,1181.668587,489003.9346,847.5095375,99600,72.15386733,2.010168536,4
21,21,8458,4880,288,94400,643.5626656,1072594.844,1288.27367,1018965.102,987.9920149,287505.1163,800.9141016,99600,41.5035926,0.865228691,4
448,448,8824,5246,288,94400,673.7544352,1296026.213,1314.343315,1231224.902,998.3378627,331209.3621,778.3993918,99600,49.61203309,1.036571165,5
262,262,8667.142857,5089.142857,288,94400,655.3044567,1163861.626,1273.042679,1105668.545,970.1343771,304811.0471,775.4303727,99600,45.29746693,0.903576499,5
178,178,8588.714286,5010.714286,288,94400,645.9929595,1101777.04,1259.983267,1046688.188,964.3968311,295225.2413,777.818896,99600,43.10174698,0.851468034,5
111,111,8536.428571,4958.428571,288,94400,646.3880208,1097271.275,1291.264316,1042407.711,988.6243319,291792.4985,798.9317688,99600,42.3982099,0.88491984,4
1047,1047,9346.857143,5768.857143,288,94400,728.1744908,1778472.857,1488.067217,1689549.214,1124.132108,423814.5499,829.499237,99600,63.71272384,1.641506288,4
507,507,8876.285714,5298.285714,288,94400,682.4496769,1360078.958,1370.162148,1292075.01,1037.60681,337337.2453,805.5248968,99600,50.94809419,1.155983027,4
19,19,8458,4880,288,94400,643.4635775,1072067.577,1278.903732,1018464.199,980.0189312,287011.3261,795.4975465,99600,41.50726995,0.851349222,2
584,584,8954.714286,5376.714286,288,94400,689.650136,1419949.282,1321.481554,1348951.818,991.3633847,341265.2368,767.3465958,99600,53.12668105,1.098432442,3
840,840,9190,5612,288,94400,709.1120888,1596771.676,1377.837801,1516933.092,1035.635282,382224.1247,779.155898,99600,59.60072501,1.321022515,0
670,670,9033.142857,5455.142857,288,94400,694.5364006,1464867.703,1347.106711,1391624.318,1015.244928,357998.065,776.0163182,99600,55.34844575,1.188263553,5
139,139,8562.571429,4984.571429,288,94400,647.122922,1104498.117,1281.61797,1049273.212,979.6107755,292277.1898,792.0633331,99600,42.70325815,0.875432333,2
159,159,8588.714286,5010.714286,288,94400,646.3425785,1103651.714,1265.248182,1048469.129,966.7263469,292893.5938,782.4315355,99600,43.08910185,0.858916494,4
778,778,9111.571429,5533.571429,288,94400,703.842571,1545149.931,1389.161061,1467892.435,1052.768914,383922.2958,791.5296902,99600,57.42997485,1.306422515,5
1400,1400,9660.571429,6082.571429,288,94400,754.0224986,2073630.251,1483.159593,1969948.738,1109.246002,470776.9205,795.5493952,99600,72.14298876,1.786906629,3
1227,1227,9503.714286,5925.714286,288,94400,741.2681765,1922435.17,1525.543286,1826313.411,1153.163615,455756.3312,838.5169732,99600,67.93721504,1.821807246,4
9,9,8458,4880,288,94400,641.7640734,1063052.804,1262.173772,1009900.164,967.5672452,286381.7262,786.8097671,99600,41.57014226,0.829681838,4
564,564,8928.571429,5350.571429,288,94400,674.5621666,1309132.638,1272.622479,1243676.006,959.2953267,326742.2647,753.1673927,99600,52.7560016,1.021263937,1
1484,1484,9739,6161,288,94400,757.0800837,2092219.267,1493.471945,1987608.304,1117.025338,474155.9357,807.4021696,99600,73.24716754,1.836402692,3
997,997,9320.714286,5742.714286,288,94400,721.8902091,1720707.032,1421.077801,1634671.68,1068.661004,408359.0617,792.262849,99600,63.09754765,1.476195584,2
970,970,9294.571429,5716.571429,288,94400,719.0197796,1692604.939,1409.648284,1607974.692,1061.496831,405777.2566,787.7669351,99600,62.40681949,1.438633817,5
866,866,9190,5612,288,94400,716.8591832,1658286.435,1379.690873,1575372.113,1028.922396,380333.1284,774.9143593,99600,59.39678134,1.30653402,3
1401,1401,9660.571429,6082.571429,288,94400,751.9840597,2054151.299,1540.76972,1951443.734,1164.039497,484625.8071,834.7071785,99600,72.17858487,1.954457531,4
1266,1266,9556,5978,288,94400,737.2254292,1895142.131,1444.6527,1800385.025,1085.342072,445941.5605,787.3738342,99600,69.48411883,1.654868689,1
135,135,8562.571429,4984.571429,288,94400,646.2828131,1099985.679,1277.636652,1044986.395,977.1044656,292137.9801,790.3409888,99600,42.73391598,0.870981082,4
1404,1404,9660.571429,6082.571429,288,94400,736.9788672,1910423.264,1422.386542,1814902.101,1066.976211,443230.2171,777.6975905,99600,72.35653381,1.662763651,1
1149,1149,9451.428571,5873.428571,288,94400,732.9386138,1837994.171,1455.241171,1746094.463,1095.210819,434381.0287,801.0537001,99600,66.61126461,1.622195975,4
879,879,9216.142857,5638.142857,288,94400,712.7159003,1629372.031,1401.241027,1547903.43,1054.41795,389666.0956,790.2416454,99600,60.27726477,1.382138177,4
556,556,8928.571429,5350.571429,288,94400,684.2790453,1379185.426,1328.621029,1310226.154,1004.365721,343453.5995,775.4985559,99600,52.49528577,1.107604901,5
922,922,9242.285714,5664.285714,288,94400,715.5224711,1655968.187,1413.641414,1573169.777,1069.015031,405029.3676,794.1425146,99600,60.97208423,1.42128086,5
1410,1410,9686.714286,6108.714286,288,94400,748.895661,2030422.953,1477.47949,1928901.805,1108.372978,470069.1879,801.8523737,99600,72.96142091,1.802909711,0
1312,1312,9582.142857,6004.142857,288,94400,743.9958258,1962764.735,1494.553084,1864626.498,1132.092078,475395.8297,813.0094891,99600,70.10819176,1.789347532,5
1048,1048,9346.857143,5768.857143,288,94400,725.46763,1755264.102,1448.931744,1667500.897,1098.692836,431584.8447,805.5307465,99600,63.77265798,1.552434583,5
498,498,8876.285714,5298.285714,288,94400,671.3152734,1283666.411,1273.125497,1219483.09,960.9669575,322202.1631,757.3614042,99600,51.28207293,0.998632829,1
